video_id,comment_id,is_reply,reply_to,comment_lenght,comment,author,channel_id,comment_publishedAt,seconds_after_video,seconds_after_comment,subscriberCount,videoCount,viewCount,bot
rPXasD5We5k,UCJlvdayAZcURqrqPxVhbo5w_70,1,UC1YbEMWejll1KjkLH--ThKg_69,94,,@Jotavê-y4q8b,UCJlvdayAZcURqrqPxVhbo5w,2025-06-19T00:06:59Z,7459,1396,0,0,0,0
rPXasD5We5k,UCl5-ifORcdEo0kkIzgFwKOQ_71,1,UC1YbEMWejll1KjkLH--ThKg_69,94,,@alexhorrorgames6720,UCl5-ifORcdEo0kkIzgFwKOQ,2025-06-19T01:31:01Z,12501,6438,6,24,634,0
rPXasD5We5k,UCtI1LAxvhOEr-3RxFACdGRw_72,0,,189,,@_GLM_,UCtI1LAxvhOEr-3RxFACdGRw,2025-06-18T23:42:23Z,5983,,5,0,0,0
rPXasD5We5k,UC5HyfYXd3oDg_RgUASHsNhQ_73,1,UCtI1LAxvhOEr-3RxFACdGRw_72,189,,@Douglaslemes18,UC5HyfYXd3oDg_RgUASHsNhQ,2025-06-19T03:42:06Z,20366,14383,53,95,12957,0
rPXasD5We5k,UCJAQ1f3H_LnHlVnB9ftoEfQ_74,1,UCtI1LAxvhOEr-3RxFACdGRw_72,189,,@ogyure,UCJAQ1f3H_LnHlVnB9ftoEfQ,2025-06-19T11:23:30Z,48050,42067,118,0,2,0
rPXasD5We5k,UCR1KaFswtAF-nS2V3AqioNw_75,0,,17,,@italozn9468,UCR1KaFswtAF-nS2V3AqioNw,2025-06-18T23:37:41Z,5701,,20,1,352,0
rPXasD5We5k,UC-T2ErLnZt2D2eW2aQjNbAQ_76,1,UCR1KaFswtAF-nS2V3AqioNw_75,17,,@denielalmeidadesouza8458,UC-T2ErLnZt2D2eW2aQjNbAQ,2025-06-19T15:50:21Z,64061,58360,0,0,0,0
rPXasD5We5k,UCjmjGS_ZdfOd9FV12O7CU2g_77,1,UCR1KaFswtAF-nS2V3AqioNw_75,17,,@TreinadorDiegoVicente,UCjmjGS_ZdfOd9FV12O7CU2g,2025-06-19T16:33:28Z,66648,60947,0,1,510,0
rPXasD5We5k,UCJmDVeknZeDfqmJz_ep0pPQ_78,1,UCR1KaFswtAF-nS2V3AqioNw_75,17,,@KarlosDanniel-m8f,UCJmDVeknZeDfqmJz_ep0pPQ,2025-06-19T19:20:29Z,76669,70968,1,0,0,0
rPXasD5We5k,UCRF-KH1wn12S6f-U7CQnJGg_79,0,,34,,@vinivm,UCRF-KH1wn12S6f-U7CQnJGg,2025-06-18T23:33:45Z,5465,,11,1,687,0
rPXasD5We5k,UCOu0TprE1lHO_9pmMTCqJog_80,1,UCRF-KH1wn12S6f-U7CQnJGg_79,34,,@jvsantosa,UCOu0TprE1lHO_9pmMTCqJog,2025-06-19T02:39:18Z,16598,11133,1,2,435,0
rPXasD5We5k,UCODx_EP_WLebO5yq2qIFe6A_81,0,,118,,@Gustavo_Paiva,UCODx_EP_WLebO5yq2qIFe6A,2025-06-18T23:31:54Z,5354,,5,0,0,0
rPXasD5We5k,UCgHMx7FV-_sOfmyzKmYP1rw_82,1,UCODx_EP_WLebO5yq2qIFe6A_81,118,,@oliviaolivia24,UCgHMx7FV-_sOfmyzKmYP1rw,2025-06-19T09:15:59Z,40399,35045,1,0,0,0
rPXasD5We5k,UCw10a1-nn6KvNGvqw7w6OUw_83,0,,124,,@exoticoff2.077,UCw10a1-nn6KvNGvqw7w6OUw,2025-06-18T23:23:17Z,4837,,9,1,74,0
rPXasD5We5k,UCMCI1i3Fygc4TJibMUpvGsg_84,1,UCw10a1-nn6KvNGvqw7w6OUw_83,124,,@João-marcos178,UCMCI1i3Fygc4TJibMUpvGsg,2025-06-18T23:57:39Z,6899,2062,136,0,0,0
rPXasD5We5k,UCOJAZV3mtY3m2axJuOac67Q_85,1,UCw10a1-nn6KvNGvqw7w6OUw_83,124,,@toxicsmoke8537,UCOJAZV3mtY3m2axJuOac67Q,2025-06-19T00:06:43Z,7443,2606,1,0,0,0
rPXasD5We5k,UCaNQw110HyenpdOW5fq1dLg_86,1,UCw10a1-nn6KvNGvqw7w6OUw_83,124,,@LucasNascimento09,UCaNQw110HyenpdOW5fq1dLg,2025-06-19T00:08:06Z,7526,2689,0,0,0,0
rPXasD5We5k,UCft3HooXtvX-yncibYD5C9g_87,1,UCw10a1-nn6KvNGvqw7w6OUw_83,124,,@regioalexandre7133,UCft3HooXtvX-yncibYD5C9g,2025-06-19T00:08:59Z,7579,2742,73,23,6145,0
rPXasD5We5k,UCehvum1AiIYWmw1k9DWXmgA_88,1,UCw10a1-nn6KvNGvqw7w6OUw_83,124,,@diegocrvlho,UCehvum1AiIYWmw1k9DWXmgA,2025-06-19T00:47:29Z,9889,5052,0,0,0,0
rPXasD5We5k,UCZtaaFQ254hXwd7nfxFfQvQ_89,1,UCw10a1-nn6KvNGvqw7w6OUw_83,124,,@vitormarino6353,UCZtaaFQ254hXwd7nfxFfQvQ,2025-06-19T00:54:55Z,10335,5498,0,1,25,0
